,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
02395QCY,0.0,0.5,0.14285714285714285,0.26666666666666666,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00784HRV,0.0,0.5,0.5714285714285714,0.26666666666666666,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03514PRT,0.0,0.07142857142857142,0.5714285714285714,0.26666666666666666,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00775QCN,0.0,0.5,0.42857142857142855,0.5333333333333333,0.6,0.26666666666666666,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00825MNE,0.0,0.5,0.5714285714285714,0.26666666666666666,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03598TUR,0.0,0.07142857142857142,0.42857142857142855,0.5333333333333333,0.4666666666666667,0.13333333333333333,0.4666666666666667,0.13333333333333333,0.6,0.26666666666666666,0.4666666666666667,0.5333333333333333,0.6,0.26666666666666666,0.3333333333333333,1.0,0.0,0.0,0.0
00330SRB,0.0,0.5,0.5714285714285714,0.26666666666666666,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00602ARE,0.0,0.07142857142857142,0.14285714285714285,0.4,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04364DNK,0.0,0.5,0.5714285714285714,0.26666666666666666,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05475AUS,0.0,0.5,0.5714285714285714,0.26666666666666666,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
